observation_date,DDOE01JPA086NWDB
1960-01-01,19.18610000000000
1961-01-01,20.91300000000000
1962-01-01,21.93780000000000
1963-01-01,23.10550000000000
1964-01-01,24.19020000000000
1965-01-01,25.75410000000000
1966-01-01,26.88920000000000
1967-01-01,28.40260000000000
1968-01-01,29.51250000000000
1969-01-01,31.40430000000000
1970-01-01,33.67000000000000
1971-01-01,35.32760000000000
1972-01-01,37.29600000000000
1973-01-01,44.13360000000000
1974-01-01,53.45770000000000
1975-01-01,57.60170000000000
1976-01-01,63.71410000000000
1977-01-01,66.92570000000001
1978-01-01,69.51570000000000
1979-01-01,73.45250000000000
1980-01-01,78.73609999999999
1981-01-01,82.15490000000000
1982-01-01,83.81250000000000
1983-01-01,85.26290000000000
1984-01-01,87.54210000000000
1985-01-01,88.78530000000001
1986-01-01,88.47450000000001
1987-01-01,89.19970000000001
1988-01-01,90.13209999999999
1989-01-01,92.51490000000000
1990-01-01,95.93370000000000
1991-01-01,98.52370000000001
1992-01-01,99.66330000000001
1993-01-01,100.69900000000000
1994-01-01,101.32100000000000
1995-01-01,100.90700000000000
1996-01-01,101.52800000000001
1997-01-01,103.39300000000000
1998-01-01,104.01500000000000
1999-01-01,102.87500000000000
2000-01-01,102.46100000000000
2001-01-01,101.21700000000000
2002-01-01,100.90700000000000
2003-01-01,100.49200000000000
2004-01-01,100.69900000000000
2005-01-01,100.28500000000000
2006-01-01,100.59600000000000
2007-01-01,101.32100000000000
2008-01-01,101.73500000000000
2009-01-01,99.97410000000001
2010-01-01,99.66330000000001
2011-01-01,99.45610000000001
2012-01-01,99.24890000000001
2013-01-01,100.90700000000000
2014-01-01,103.28900000000000
2015-01-01,103.39300000000000
2016-01-01,103.70399999999999
2017-01-01,104.84300000000000
